Date,Price,,,,,
17-Oct-18,494.7,,,,,
16-Oct-18,492.5,,,,,
15-Oct-18,497.9,,,,,
12-Oct-18,494.7,,,,,
11-Oct-18,496.5,,,,,
10-Oct-18,496.8,,,,,
9-Oct-18,499.6,,,,,
5-Oct-18,501.3,,,,,
4-Oct-18,499,,,,,
3-Oct-18,499.1,,,,,
2-Oct-18,497.7,,,,,
1-Oct-18,494.6,,,,,
28-Sep-18,497.3,,,,,
27-Sep-18,498.4,,,,,
26-Sep-18,494.7,,,,,
25-Sep-18,490.9,,,,,
24-Sep-18,489.3,,,,,
21-Sep-18,489.7,,,,,
20-Sep-18,489.1,,,,,
19-Sep-18,487,,,,,
18-Sep-18,486.4,,,,,
17-Sep-18,488.8,,,,,
14-Sep-18,490.9,,,,,
13-Sep-18,489.9,,,,,
12-Sep-18,491.7,,,,,
11-Sep-18,493.6,,,,,
10-Sep-18,496.7,,,,,
7-Sep-18,495.5,,,,,
6-Sep-18,498.3,,,,,
5-Sep-18,496.6,,,,,
4-Sep-18,496.8,,,,,
31-Aug-18,495.6,,,,,
30-Aug-18,495,,,,,
29-Aug-18,491.3,,,,,
28-Aug-18,488.6,,,,,
27-Aug-18,492.9,,,,,
24-Aug-18,497.1,,,,,
23-Aug-18,496.6,,,,,
22-Aug-18,501.6,,,,,
21-Aug-18,507.5,,,,,
20-Aug-18,511.9,,,,,
17-Aug-18,510.9,,,,,
16-Aug-18,510.4,,,,,
15-Aug-18,504.1,,,,,
14-Aug-18,507.6,,,,,
13-Aug-18,505,,,,,
10-Aug-18,504.9,,,,,
9-Aug-18,508.7,,,,,
8-Aug-18,510.7,,,,,
7-Aug-18,502.6,,,,,
3-Aug-18,494,,,,,
2-Aug-18,496,,,,,
1-Aug-18,495.8,,,,,
31-Jul-18,500.8,,,,,
30-Jul-18,493.8,,,,,
27-Jul-18,493.6,,,,,
26-Jul-18,492.8,,,,,
25-Jul-18,489.5,,,,,
24-Jul-18,489.9,,,,,
23-Jul-18,486.7,,,,,
20-Jul-18,490.3,,,,,
19-Jul-18,493.3,,,,,
18-Jul-18,491.9,,,,,
17-Jul-18,488.3,,,,,
16-Jul-18,487.4,,,,,
13-Jul-18,485.1,,,,,
12-Jul-18,492.8,,,,,
11-Jul-18,498.4,,,,,
10-Jul-18,514.5,,,,,
9-Jul-18,518.3,,,,,
6-Jul-18,523.2,,,,,
5-Jul-18,509.9,,,,,
4-Jul-18,509.1,,,,,
3-Jul-18,518.5,,,,,
29-Jun-18,521,,,,,
28-Jun-18,510.4,,,,,
27-Jun-18,523.7,,,,,
26-Jun-18,521.5,,,,,
25-Jun-18,523.3,,,,,
22-Jun-18,527.4,,,,,
21-Jun-18,525,,,,,
20-Jun-18,519.4,,,,,
19-Jun-18,518.3,,,,,
18-Jun-18,520,,,,,
15-Jun-18,520,,,,,
14-Jun-18,517.3,,,,,
13-Jun-18,514.5,,,,,
12-Jun-18,517,,,,,
11-Jun-18,516.7,,,,,
8-Jun-18,517.5,,,,,
7-Jun-18,520.2,,,,,
6-Jun-18,523.7,,,,,
5-Jun-18,525.3,,,,,
4-Jun-18,525.3,,,,,
1-Jun-18,530.3,,,,,
31-May-18,534.1,,,,,
30-May-18,535.7,,,,,
29-May-18,537.8,,,,,
28-May-18,536.2,,,,,
25-May-18,538.1,,,,,
24-May-18,539,,,,,
23-May-18,535.2,,,,,
22-May-18,532.7,,,,,
18-May-18,532.4,,,,,
17-May-18,532.6,,,,,
16-May-18,529.2,,,,,
15-May-18,533.5,,,,,
14-May-18,531.7,,,,,
11-May-18,531.8,,,,,
10-May-18,532.7,,,,,
9-May-18,529.9,,,,,
8-May-18,528,,,,,
7-May-18,524.4,,,,,
4-May-18,526.6,,,,,
3-May-18,527.6,,,,,
2-May-18,528.4,,,,,
1-May-18,529.6,,,,,
30-Apr-18,531.3,,,,,
27-Apr-18,533.3,,,,,
26-Apr-18,532.2,,,,,
25-Apr-18,539,,,,,
24-Apr-18,539.5,,,,,
23-Apr-18,539.2,,,,,
20-Apr-18,534.8,,,,,
19-Apr-18,534.4,,,,,
18-Apr-18,526.4,,,,,
17-Apr-18,521.3,,,,,
16-Apr-18,520.8,,,,,
13-Apr-18,523.7,,,,,
12-Apr-18,524.9,,,,,
11-Apr-18,523.4,,,,,
10-Apr-18,527.1,,,,,
9-Apr-18,531,,,,,
6-Apr-18,531.8,,,,,
5-Apr-18,529,,,,,
4-Apr-18,528.4,,,,,
3-Apr-18,526.5,,,,,
2-Apr-18,524.8,,,,,
29-Mar-18,522.7,,,,,
28-Mar-18,521.8,,,,,
27-Mar-18,522.9,,,,,
26-Mar-18,522.7,,,,,
23-Mar-18,520.6,,,,,
22-Mar-18,519.1,,,,,
21-Mar-18,521,,,,,
20-Mar-18,519.8,,,,,
19-Mar-18,517.7,,,,,
16-Mar-18,523.1,,,,,
15-Mar-18,522,,,,,
14-Mar-18,513,,,,,
13-Mar-18,515.5,,,,,
12-Mar-18,507,,,,,
9-Mar-18,509.5,,,,,
8-Mar-18,516.2,,,,,
7-Mar-18,516.6,,,,,
6-Mar-18,520.7,,,,,
5-Mar-18,528.5,,,,,
2-Mar-18,523.5,,,,,
1-Mar-18,521.6,,,,,
28-Feb-18,520.3,,,,,
27-Feb-18,517.3,,,,,
26-Feb-18,517,,,,,
23-Feb-18,511.7,,,,,
22-Feb-18,510.7,,,,,
21-Feb-18,508.3,,,,,
20-Feb-18,505.3,,,,,
16-Feb-18,503.1,,,,,
15-Feb-18,501.2,,,,,
14-Feb-18,503.8,,,,,
13-Feb-18,503.9,,,,,
12-Feb-18,503.3,,,,,
9-Feb-18,497.9,,,,,
8-Feb-18,499.3,,,,,
7-Feb-18,498.2,,,,,
6-Feb-18,499.8,,,,,
5-Feb-18,494.9,,,,,
2-Feb-18,493.4,,,,,
1-Feb-18,494.3,,,,,
31-Jan-18,496.7,,,,,
30-Jan-18,498.3,,,,,
29-Jan-18,496.2,,,,,
26-Jan-18,493.7,,,,,
25-Jan-18,496,,,,,
24-Jan-18,495,,,,,
23-Jan-18,496.1,,,,,
22-Jan-18,494.1,,,,,
19-Jan-18,496,,,,,
18-Jan-18,492.6,,,,,
17-Jan-18,489.7,,,,,
16-Jan-18,489.3,,,,,
15-Jan-18,491,,,,,
12-Jan-18,486.9,,,,,
11-Jan-18,484.7,,,,,
10-Jan-18,487.5,,,,,
9-Jan-18,490.3,,,,,
8-Jan-18,490.3,,,,,
5-Jan-18,492.1,,,,,
4-Jan-18,490.3,,,,,
3-Jan-18,486,,,,,
2-Jan-18,482.2,,,,,
